fecha,id_cliente,producto,categoria,ciudad,unidades,precio_unitario,descuento,canal,ventas
2025-02-10,13763,Juego de ollas,Hogar,Bogota,1,22100.0,0.05,Tienda,20995.0
2025-07-30,12093,Lampara LED,Hogar,Cali,1,44000.0,0.0,En linea,39600.0
2025-02-16,14456,Mancuernas 5kg,Deportes,Cali,4,19500.0,0.15,En linea,66300.0
2025-08-27,15903,Bolso cuero,Moda,Medellin,1,28800.0,0.0,En linea,28800.0
2025-03-24,10153,Tenis urbanos,Moda,Medellin,1,29800.0,0.05,Tienda,28310.0
2025-05-10,10159,Licuadora,Hogar,Barranquilla,4,33800.0,0.0,Tienda,135200.0
2025-02-28,18571,Jean slim,Moda,Bogota,2,48700.0,0.0,Tienda,97400.0
2025-06-17,19658,Aspiradora,Hogar,Medellin,4,205100.0,0.05,Tienda,779380.0
2025-01-18,19173,Balon futbol,Deportes,Bogota,3,60600.0,0.0,Tienda,181800.0
2025-12-25,10189,Audifonos BT,Tecnologia,Barranquilla,3,466600.0,0.15,En linea,1189830.0
2025-04-11,15681,Portatil 14,Tecnologia,Bogota,1,485600.0,0.0,Tienda,485600.0
2025-01-24,11495,Set de sabanas,Hogar,Barranquilla,1,57400.0,0.1,En linea,51660.0
2025-10-11,17236,Jean slim,Moda,Cali,1,82200.0,0.0,Tienda,82200.0
2025-03-10,17582,Lampara LED,Hogar,Cali,3,218700.0,0.1,En linea,590490.0
2025-10-01,13507,Lampara LED,Hogar,Barranquilla,5,62200.0,0.15,Tienda,264350.0
2025-09-16,16659,Monitor 24,Tecnologia,Bogota,2,231400.0,0.0,Tienda,462800.0
2025-04-24,17488,Mancuernas 5kg,Deportes,Bogota,2,93600.0,0.0,Tienda,187200.0
2025-04-01,17792,Mancuernas 5kg,Deportes,Cali,1,27700.0,0.0,Tienda,27700.0
2025-03-06,16249,Tenis urbanos,Moda,Bogota,1,64100.0,0.0,En linea,64100.0
2025-03-10,14315,Lampara LED,Hogar,Medellin,2,50900.0,0.0,En linea,101800.0
2025-06-27,13049,Tenis urbanos,Moda,Cali,2,34800.0,0.05,Tienda,66120.0
2025-12-31,13389,Bicicleta estatica,Deportes,Barranquilla,2,31100.0,0.0,Tienda,62200.0
2025-03-10,13351,Audifonos BT,Tecnologia,Medellin,3,1102700.0,0.1,Tienda,2977290.0
2025-05-14,10728,Balon futbol,Deportes,Medellin,1,125800.0,0.1,En linea,113220.0
2025-07-13,14612,Chaqueta impermeable,Moda,Bogota,1,66200.0,0.0,En linea,66200.0
2025-10-14,18569,Licuadora,Hogar,Bogota,3,88300.0,0.05,Tienda,251655.0
2025-02-22,14393,Monitor 24,Tecnologia,Barranquilla,1,718100.0,0.0,En linea,718100.0
2025-05-01,15491,Teclado mecanico,Tecnologia,Medellin,1,503600.0,0.0,En linea,503600.0
2025-10-01,11535,Tablet 10,Tecnologia,Cali,2,254300.0,0.2,En linea,406880.0
2025-07-27,11708,Aspiradora,Hogar,Bogota,1,82400.0,0.0,En linea,82400.0
2025-05-17,19369,Audifonos BT,Tecnologia,Medellin,2,137500.0,0.05,En linea,261250.0
2025-05-13,16162,Lampara LED,Hogar,Barranquilla,3,48200.0,0.05,Tienda,137370.0
2025-03-03,13730,Juego de ollas,Hogar,Cali,2,31500.0,0.15,En linea,53550.0
2025-08-29,19423,Bicicleta estatica,Deportes,Barranquilla,1,34500.0,0.0,En linea,34500.0
2025-03-31,13969,Monitor 24,Tecnologia,Bogota,2,184500.0,0.0,Tienda,369000.0
2025-02-15,10124,Audifonos BT,Tecnologia,Bogota,3,338200.0,0.0,En linea,1014600.0
2025-10-21,11689,Bolso cuero,Moda,Medellin,1,62900.0,0.05,Tienda,59755.0
2025-02-12,11085,Set de sabanas,Hogar,Cali,4,65900.0,0.0,En linea,263600.0
2025-02-20,12876,Juego de ollas,Hogar,Medellin,5,89900.0,0.05,Tienda,427025.0
2025-07-23,17962,Camiseta basica,Moda,Medellin,2,28400.0,0.0,En linea,56800.0
2025-07-25,17167,Juego de ollas,Hogar,Medellin,1,63300.0,0.2,En linea,50640.0
2025-01-22,16021,Aspiradora,Hogar,Barranquilla,1,69200.0,0.0,Tienda,69200.0
2025-07-21,14840,Portatil 14,Tecnologia,Bogota,2,296600.0,0.0,En linea,593200.0
2025-01-15,13764,Bolso cuero,Moda,Medellin,3,78300.0,0.1,Tienda,211410.0
2025-05-04,14935,Bicicleta estatica,Deportes,Medellin,2,70100.0,0.0,En linea,140200.0
2025-10-12,11048,Guantes gym,Deportes,Bogota,3,28700.0,0.05,En linea,81795.0
2025-04-15,16612,Portatil 14,Tecnologia,Barranquilla,1,1140600.0,0.0,Tienda,1140600.0
2025-03-13,11508,Juego de ollas,Hogar,Medellin,5,64900.0,0.05,Tienda,308275.0
2025-10-20,14200,Juego de ollas,Hogar,Cali,3,108300.0,0.15,Tienda,276165.0
2025-11-14,18936,Portatil 14,Tecnologia,Cali,2,318900.0,0.0,Tienda,637800.0
2025-09-21,19479,Bolso cuero,Moda,Cali,1,70100.0,0.05,En linea,66595.0
2025-06-18,11169,Aspiradora,Hogar,Cali,5,207000.0,0.1,En linea,931500.0
2025-01-04,15752,Camiseta basica,Moda,Medellin,4,37500.0,0.0,Tienda,150000.0
2025-01-01,19356,Licuadora,Hogar,Barranquilla,2,34800.0,0.15,Tienda,59160.0
2025-11-10,19872,Set de sabanas,Hogar,Bogota,3,84600.0,0.0,En linea,253800.0
2025-05-04,14132,Tenis urbanos,Moda,Bogota,4,64700.0,0.15,En linea,219980.0
2025-08-01,10485,Chaqueta impermeable,Moda,Cali,3,69600.0,0.1,En linea,187920.0
2025-03-26,16321,Camiseta basica,Moda,Bogota,3,55900.0,0.2,Tienda,134160.0
2025-08-15,15068,Lampara LED,Hogar,Bogota,4,49600.0,0.0,En linea,198400.0
2025-11-06,16185,Lampara LED,Hogar,Bogota,5,36700.0,0.15,Tienda,155975.0
2025-08-31,18316,Tablet 10,Tecnologia,Medellin,3,448000.0,0.0,En linea,1344000.0
2025-08-04,14499,Monitor 24,Tecnologia,Bogota,1,237000.0,0.15,En linea,201450.0
2025-10-10,16899,Teclado mecanico,Tecnologia,Barranquilla,1,93700.0,0.05,Tienda,89015.0
2025-03-13,17142,Audifonos BT,Tecnologia,Barranquilla,2,671700.0,0.2,Tienda,1074720.0
2025-09-18,13941,Licuadora,Hogar,Cali,4,77200.0,0.1,Tienda,277920.0
2025-01-27,19039,Tenis urbanos,Moda,Barranquilla,3,47100.0,0.0,Tienda,141300.0
2025-04-11,10531,Licuadora,Hogar,Cali,4,33600.0,0.0,Tienda,134400.0
2025-01-06,11245,Camiseta basica,Moda,Medellin,2,30300.0,0.15,Tienda,51510.0
2025-01-08,15460,Monitor 24,Tecnologia,Cali,1,261600.0,0.0,En linea,261600.0
2025-01-20,13816,Set de sabanas,Hogar,Barranquilla,1,140000.0,0.2,Tienda,112000.0
2025-04-15,10152,Bolso cuero,Moda,Barranquilla,3,37800.0,0.0,Tienda,113400.0
2025-09-14,18113,Chaqueta impermeable,Moda,Bogota,2,82700.0,0.15,Tienda,140590.0
2025-08-01,13923,Portatil 14,Tecnologia,Medellin,3,221400.0,0.1,En linea,597780.0
2025-06-16,14016,Juego de ollas,Hogar,Medellin,4,65500.0,0.15,Tienda,222700.0
2025-07-30,18765,Jean slim,Moda,Bogota,2,61500.0,0.0,En linea,123000.0
2025-11-18,19382,Tablet 10,Tecnologia,Medellin,3,713800.0,0.05,Tienda,2034330.0
2025-05-30,12041,Tapete yoga,Deportes,Cali,2,52300.0,0.05,En linea,99370.0
2025-10-12,13459,Bolso cuero,Moda,Cali,1,97200.0,0.1,En linea,87480.0
2025-09-24,12717,Juego de ollas,Hogar,Barranquilla,5,36700.0,0.0,Tienda,183500.0
2025-02-08,12374,Licuadora,Hogar,Bogota,2,23600.0,0.0,En linea,47200.0
2025-07-16,19052,Guantes gym,Deportes,Medellin,3,29400.0,0.0,Tienda,88200.0
2025-02-19,16819,Mancuernas 5kg,Deportes,Medellin,1,72900.0,0.05,Tienda,69255.0
2025-12-11,13723,Audifonos BT,Tecnologia,Medellin,3,271500.0,0.2,Tienda,651600.0
2025-05-03,14962,Licuadora,Hogar,Medellin,2,91600.0,0.2,Tienda,146560.0
2025-01-13,18538,Licuadora,Hogar,Barranquilla,4,35000.0,0.0,En linea,140000.0
2025-10-25,17224,Aspiradora,Hogar,Barranquilla,2,34100.0,0.05,En linea,64790.0
2025-02-13,13596,Camiseta basica,Moda,Bogota,4,71400.0,0.0,En linea,285600.0
2025-10-14,15867,Lampara LED,Hogar,Cali,2,67600.0,0.15,En linea,114920.0
2025-12-15,12423,Licuadora,Hogar,Cali,4,51400.0,0.0,En linea,205600.0
2025-09-25,17752,Jean slim,Moda,Cali,2,87100.0,0.05,En linea,165490.0
2025-10-17,12934,Licuadora,Hogar,Barranquilla,4,37300.0,0.1,Tienda,134280.0
2025-07-05,19768,Bolso cuero,Moda,Bogota,2,50700.0,0.05,Tienda,96330.0
2025-10-25,10476,Guantes gym,Deportes,Bogota,3,22300.0,0.05,Tienda,63555.0
2025-08-19,18892,Juego de ollas,Hogar,Medellin,5,187400.0,0.3,Tienda,655900.0
2025-07-12,15625,Bicicleta estatica,Deportes,Barranquilla,4,39100.0,0.0,En linea,156400.0
2025-04-23,17468,Juego de ollas,Hogar,Cali,5,105700.0,0.05,Tienda,502075.0
2025-07-22,11642,Monitor 24,Tecnologia,Cali,2,431300.0,0.1,En linea,776340.0
2025-10-21,15376,Lampara LED,Hogar,Bogota,4,35100.0,0.3,Tienda,98280.0
2025-02-14,11259,Bolso cuero,Moda,Cali,2,73600.0,0.0,Tienda,139840.0
2025-06-03,10043,Tenis urbanos,Moda,Bogota,3,120900.0,0.05,Tienda,344565.0
2025-09-26,17470,Chaqueta impermeable,Moda,Bogota,4,47300.0,0.1,En linea,170280.0
2025-08-27,13673,Tablet 10,Tecnologia,Bogota,2,628500.0,0.05,En linea,1194150.0
2025-09-13,13158,Set de sabanas,Hogar,Cali,5,39700.0,0.2,Tienda,158800.0
2025-06-25,15020,Lampara LED,Hogar,Bogota,2,61800.0,0.05,Tienda,117420.0
2025-01-05,12560,Balon futbol,Deportes,Medellin,4,37000.0,0.0,En linea,148000.0
2025-02-07,17658,Guantes gym,Deportes,Medellin,4,56200.0,0.1,Tienda,202320.0
2025-07-18,10630,Juego de ollas,Hogar,Barranquilla,1,123600.0,0.0,Tienda,123600.0
2025-10-13,16070,Mancuernas 5kg,Deportes,Barranquilla,1,68000.0,0.15,Tienda,57800.0
2025-12-15,12261,Bolso cuero,Moda,Barranquilla,4,22000.0,0.0,Tienda,88000.0
2025-11-20,16496,Audifonos BT,Tecnologia,Barranquilla,2,249200.0,0.2,En linea,398720.0
2025-10-08,10318,Aspiradora,Hogar,Cali,1,49400.0,0.15,Tienda,41990.0
2025-10-14,18024,Camiseta basica,Moda,Medellin,3,87700.0,0.0,Tienda,263100.0
2025-06-22,19569,Aspiradora,Hogar,Medellin,3,55500.0,0.05,Tienda,158175.0
2025-04-10,14150,Guantes gym,Deportes,Medellin,4,50100.0,0.1,En linea,180360.0
2025-06-05,10848,Guantes gym,Deportes,Bogota,2,28500.0,0.0,En linea,57000.0
2025-11-15,18643,Teclado mecanico,Tecnologia,Bogota,3,212400.0,0.0,Tienda,637200.0
2025-03-04,13266,Set de sabanas,Hogar,Medellin,5,50100.0,0.15,Tienda,212925.0
2025-11-02,19570,Aspiradora,Hogar,Medellin,5,100300.0,0.15,Tienda,426275.0
2025-03-06,12586,Guantes gym,Deportes,Barranquilla,3,44300.0,0.1,En linea,119610.0
2025-10-02,19876,Mancuernas 5kg,Deportes,Bogota,1,45600.0,0.0,Tienda,45600.0
2025-06-17,11863,Bicicleta estatica,Deportes,Barranquilla,3,81700.0,0.1,En linea,220590.0
2025-11-02,13884,Licuadora,Hogar,Cali,2,86800.0,0.05,Tienda,164920.0
2025-12-18,16075,Chaqueta impermeable,Moda,Barranquilla,3,34000.0,0.15,Tienda,86700.0
2025-12-04,11734,Mancuernas 5kg,Deportes,Medellin,1,23400.0,0.1,Tienda,21060.0
2025-10-29,17716,Portatil 14,Tecnologia,Medellin,2,590800.0,0.1,Tienda,1063440.0
2025-09-07,19598,Tapete yoga,Deportes,Medellin,3,33100.0,0.0,Tienda,99300.0
2025-12-30,18063,Set de sabanas,Hogar,Medellin,3,78000.0,0.0,Tienda,234000.0
2025-05-15,12766,Jean slim,Moda,Medellin,2,34200.0,0.0,En linea,68400.0
2025-02-24,10183,Juego de ollas,Hogar,Barranquilla,3,74200.0,0.0,Tienda,222600.0
2025-01-10,14767,Juego de ollas,Hogar,Medellin,4,82100.0,0.2,Tienda,262720.0
2025-12-20,17174,Guantes gym,Deportes,Barranquilla,2,34600.0,0.0,En linea,69200.0
2025-08-13,15635,Guantes gym,Deportes,Medellin,1,60400.0,0.15,En linea,51340.0
2025-10-07,14309,Monitor 24,Tecnologia,Medellin,2,209700.0,0.0,Tienda,419400.0
2025-01-02,16259,Portatil 14,Tecnologia,Barranquilla,3,132700.0,0.05,Tienda,378195.0
2025-05-03,11691,Monitor 24,Tecnologia,Medellin,3,690900.0,0.0,Tienda,2072700.0
2025-06-15,15726,Bolso cuero,Moda,Medellin,4,50600.0,0.0,Tienda,202400.0
2025-06-12,16598,Set de sabanas,Hogar,Medellin,3,23400.0,0.0,En linea,70200.0
2025-09-14,14037,Teclado mecanico,Tecnologia,Cali,1,430700.0,0.15,En linea,366095.0
2025-04-13,12838,Camiseta basica,Moda,Cali,2,53200.0,0.0,Tienda,106400.0
2025-04-21,10556,Licuadora,Hogar,Cali,4,134700.0,0.05,Tienda,511860.0
2025-06-16,19718,Licuadora,Hogar,Medellin,2,80100.0,0.0,En linea,160200.0
2025-01-29,15959,Juego de ollas,Hogar,Bogota,3,38200.0,0.0,En linea,114600.0
2025-12-09,15329,Tablet 10,Tecnologia,Medellin,3,417500.0,0.15,En linea,1064625.0
2025-07-17,13224,Teclado mecanico,Tecnologia,Cali,2,195800.0,0.1,Tienda,352440.0
2025-11-22,11143,Jean slim,Moda,Barranquilla,4,92300.0,0.0,En linea,369200.0
2025-11-29,10892,Tapete yoga,Deportes,Cali,3,49300.0,0.1,Tienda,133110.0
2025-05-09,16780,Tenis urbanos,Moda,Bogota,4,115300.0,0.0,En linea,461200.0
2025-04-26,16601,Licuadora,Hogar,Cali,1,88600.0,0.1,Tienda,79740.0
2025-11-21,17816,Aspiradora,Hogar,Cali,1,121800.0,0.0,Tienda,121800.0
2025-09-12,14408,Licuadora,Hogar,Cali,4,54500.0,0.0,En linea,218000.0
2025-03-24,13957,Juego de ollas,Hogar,Medellin,4,39800.0,0.0,Tienda,159200.0
2025-05-10,19426,Audifonos BT,Tecnologia,Barranquilla,1,243400.0,0.0,Tienda,243400.0
2025-03-28,19714,Bicicleta estatica,Deportes,Bogota,1,109600.0,0.0,Tienda,109600.0
2025-04-23,13763,Licuadora,Hogar,Bogota,2,48200.0,0.0,En linea,96400.0
2025-08-21,11783,Chaqueta impermeable,Moda,Cali,4,55300.0,0.05,Tienda,210140.0
2025-01-16,18443,Aspiradora,Hogar,Medellin,1,46000.0,0.0,En linea,46000.0
2025-10-24,10854,Bicicleta estatica,Deportes,Medellin,1,48100.0,0.0,Tienda,48100.0
2025-07-02,18764,Bolso cuero,Moda,Bogota,2,33200.0,0.2,En linea,53120.0
2025-03-10,17743,Chaqueta impermeable,Moda,Medellin,3,90200.0,0.05,Tienda,257070.0
2025-09-14,13793,Jean slim,Moda,Medellin,1,60700.0,0.0,En linea,60700.0
2025-08-17,18537,Set de sabanas,Hogar,Cali,5,42100.0,0.0,Tienda,210500.0
2025-11-18,10325,Bolso cuero,Moda,Bogota,4,88900.0,0.1,Tienda,320040.0
2025-03-18,18938,Bolso cuero,Moda,Cali,3,46900.0,0.0,En linea,140700.0
2025-01-11,19504,Audifonos BT,Tecnologia,Barranquilla,2,329800.0,0.05,En linea,626620.0
2025-11-23,12214,Set de sabanas,Hogar,Bogota,5,92300.0,0.1,En linea,415350.0
2025-07-20,16392,Tablet 10,Tecnologia,Bogota,3,217800.0,0.0,Tienda,653400.0
2025-12-31,13282,Tenis urbanos,Moda,Medellin,4,88400.0,0.0,Tienda,353600.0
2025-12-19,18044,Audifonos BT,Tecnologia,Cali,1,418200.0,0.1,En linea,376380.0
2025-03-11,10837,Jean slim,Moda,Bogota,4,22200.0,0.1,Tienda,79920.0
2025-12-20,14173,Bolso cuero,Moda,Cali,1,50200.0,0.15,Tienda,42670.0
2025-12-15,16586,Monitor 24,Tecnologia,Medellin,2,101500.0,0.0,Tienda,203000.0
2025-08-12,14263,Audifonos BT,Tecnologia,Medellin,3,160600.0,0.1,Tienda,433620.0
2025-09-29,18451,Bolso cuero,Moda,Bogota,3,126500.0,0.15,Tienda,322575.0
2025-10-29,12300,Tenis urbanos,Moda,Medellin,1,70800.0,0.0,Tienda,70800.0
2025-08-12,16527,Aspiradora,Hogar,Barranquilla,5,119700.0,0.0,En linea,598500.0
2025-01-20,12345,Juego de ollas,Hogar,Bogota,1,82000.0,0.0,Tienda,82000.0
2025-06-08,19162,Set de sabanas,Hogar,Medellin,5,72700.0,0.0,En linea,363500.0
2025-07-27,15639,Tapete yoga,Deportes,Bogota,1,54300.0,0.0,En linea,54300.0
2025-02-21,17497,Tapete yoga,Deportes,Bogota,4,40300.0,0.2,Tienda,128960.0
2025-03-31,18120,Bolso cuero,Moda,Barranquilla,2,42800.0,0.05,En linea,81320.0
2025-07-20,14168,Juego de ollas,Hogar,Cali,4,179200.0,0.05,Tienda,680960.0
2025-03-29,16600,Guantes gym,Deportes,Bogota,3,50400.0,0.15,Tienda,128520.0
2025-04-03,10202,Mancuernas 5kg,Deportes,Medellin,2,25500.0,0.05,En linea,48450.0
2025-07-20,14638,Guantes gym,Deportes,Medellin,3,29400.0,0.05,Tienda,83790.0
2025-05-27,15052,Tapete yoga,Deportes,Medellin,4,52900.0,0.05,Tienda,201020.0
2025-08-25,11811,Jean slim,Moda,Cali,2,86100.0,0.0,En linea,172200.0
2025-02-11,16877,Aspiradora,Hogar,Medellin,1,93100.0,0.0,En linea,93100.0
2025-05-30,18461,Lampara LED,Hogar,Cali,1,275600.0,0.1,Tienda,248040.0
2025-12-08,12144,Camiseta basica,Moda,Cali,2,55100.0,0.2,Tienda,88160.0
2025-05-26,13908,Bolso cuero,Moda,Cali,4,35800.0,0.1,En linea,128880.0
2025-11-14,15097,Mancuernas 5kg,Deportes,Barranquilla,2,67700.0,0.0,Tienda,135400.0
2025-09-02,17782,Tapete yoga,Deportes,Medellin,2,62600.0,0.0,Tienda,125200.0
2025-08-29,19169,Portatil 14,Tecnologia,Medellin,2,604500.0,0.05,Tienda,1148550.0
2025-11-02,16156,Lampara LED,Hogar,Medellin,3,218100.0,0.0,Tienda,654300.0
2025-04-04,16367,Set de sabanas,Hogar,Medellin,3,37300.0,0.15,En linea,95115.0
2025-06-03,15971,Lampara LED,Hogar,Bogota,5,58600.0,0.05,En linea,278350.0
2025-03-04,16259,Chaqueta impermeable,Moda,Medellin,2,47300.0,0.0,Tienda,94600.0
2025-04-27,13429,Chaqueta impermeable,Moda,Barranquilla,1,51600.0,0.0,Tienda,51600.0
2025-04-12,11787,Bicicleta estatica,Deportes,Medellin,1,35900.0,0.0,En linea,35900.0
2025-08-07,17808,Bicicleta estatica,Deportes,Barranquilla,3,70900.0,0.05,En linea,202065.0
2025-05-14,12643,Jean slim,Moda,Barranquilla,4,55100.0,0.0,Tienda,220400.0
2025-05-31,11150,Lampara LED,Hogar,Medellin,3,32400.0,0.2,Tienda,77760.0
2025-04-07,15624,Set de sabanas,Hogar,Medellin,2,71100.0,0.0,Tienda,120870.0
2025-09-04,10800,Portatil 14,Tecnologia,Barranquilla,1,606700.0,0.2,En linea,485360.0
2025-12-05,18994,Juego de ollas,Hogar,Medellin,1,230900.0,0.15,Tienda,196265.0
2025-05-14,10018,Tapete yoga,Deportes,Medellin,4,39400.0,0.0,Tienda,157600.0
2025-09-18,16168,Portatil 14,Tecnologia,Bogota,1,510900.0,0.05,Tienda,485355.0
2025-11-27,13342,Aspiradora,Hogar,Barranquilla,5,66900.0,0.0,Tienda,334500.0
2025-10-24,13095,Tapete yoga,Deportes,Medellin,2,69200.0,0.05,Tienda,131480.0
2025-07-08,12480,Juego de ollas,Hogar,Cali,1,100500.0,0.1,En linea,90450.0
2025-04-19,17223,Jean slim,Moda,Barranquilla,3,41900.0,0.05,Tienda,119415.0
2025-04-21,13456,Lampara LED,Hogar,Barranquilla,2,36700.0,0.0,Tienda,73400.0
2025-03-29,14582,Teclado mecanico,Tecnologia,Medellin,1,217600.0,0.1,En linea,195840.0
2025-02-05,10746,Lampara LED,Hogar,Bogota,5,55700.0,0.05,Tienda,264575.0
2025-07-17,15081,Chaqueta impermeable,Moda,Bogota,4,34300.0,0.0,Tienda,137200.0
2025-02-17,14930,Juego de ollas,Hogar,Bogota,1,77300.0,0.05,Tienda,73435.0
2025-04-29,16595,Monitor 24,Tecnologia,Bogota,2,860800.0,0.0,Tienda,1721600.0
2025-05-23,10038,Lampara LED,Hogar,Cali,5,174200.0,0.0,Tienda,871000.0
2025-06-04,19364,Guantes gym,Deportes,Cali,1,37800.0,0.1,En linea,34020.0
2025-10-04,19204,Jean slim,Moda,Bogota,4,111300.0,0.0,Tienda,445200.0
2025-08-27,10279,Lampara LED,Hogar,Bogota,5,42000.0,0.15,Tienda,178500.0
2025-04-25,11413,Set de sabanas,Hogar,Bogota,3,54600.0,0.0,Tienda,163800.0
2025-08-16,16411,Bolso cuero,Moda,Barranquilla,4,59200.0,0.3,En linea,165760.0
2025-10-03,19685,Tablet 10,Tecnologia,Bogota,3,416400.0,0.0,Tienda,1249200.0
2025-06-04,19197,Chaqueta impermeable,Moda,Bogota,2,112300.0,0.0,Tienda,224600.0
2025-03-22,11849,Tapete yoga,Deportes,Bogota,4,48100.0,0.1,En linea,173160.0
2025-05-17,16052,Set de sabanas,Hogar,Bogota,3,27900.0,0.15,En linea,71145.0
2025-05-04,13441,Mancuernas 5kg,Deportes,Barranquilla,3,49400.0,0.05,En linea,140790.0
2025-06-17,15729,Monitor 24,Tecnologia,Barranquilla,2,356000.0,0.0,Tienda,712000.0
2025-12-25,19806,Jean slim,Moda,Medellin,3,52100.0,0.1,Tienda,140670.0
2025-08-10,18546,Jean slim,Moda,Cali,2,76000.0,0.2,En linea,121600.0
2025-07-19,15570,Juego de ollas,Hogar,Bogota,2,107500.0,0.0,Tienda,193500.0
2025-04-07,12920,Chaqueta impermeable,Moda,Bogota,2,72700.0,0.0,En linea,145400.0
2025-08-21,16449,Bicicleta estatica,Deportes,Cali,4,74500.0,0.2,En linea,238400.0
2025-10-05,11718,Lampara LED,Hogar,Bogota,2,92600.0,0.05,Tienda,175940.0
2025-11-18,18985,Audifonos BT,Tecnologia,Bogota,1,216200.0,0.1,Tienda,194580.0
2025-01-29,14363,Tenis urbanos,Moda,Medellin,3,29100.0,0.15,En linea,74205.0
2025-10-14,13885,Tenis urbanos,Moda,Medellin,4,41400.0,0.1,Tienda,149040.0
2025-11-19,13025,Tapete yoga,Deportes,Medellin,2,34900.0,0.1,En linea,62820.0
2025-04-20,17369,Aspiradora,Hogar,Medellin,1,22200.0,0.0,En linea,22200.0
2025-05-05,15791,Lampara LED,Hogar,Medellin,1,29000.0,0.05,En linea,27550.0
2025-04-07,16701,Chaqueta impermeable,Moda,Bogota,2,68900.0,0.0,Tienda,137800.0
2025-11-19,14134,Mancuernas 5kg,Deportes,Bogota,2,50000.0,0.0,Tienda,100000.0
2025-02-21,18970,Teclado mecanico,Tecnologia,Medellin,1,240400.0,0.0,Tienda,240400.0
2025-09-16,15152,Licuadora,Hogar,Barranquilla,3,55300.0,0.15,En linea,141015.0
2025-04-06,19691,Juego de ollas,Hogar,Medellin,3,92600.0,0.0,En linea,277800.0
2025-03-07,15683,Lampara LED,Hogar,Bogota,4,53700.0,0.0,Tienda,214800.0
2025-12-30,12029,Guantes gym,Deportes,Bogota,4,89500.0,0.1,En linea,322200.0
2025-10-03,12334,Lampara LED,Hogar,Bogota,4,92300.0,0.0,Tienda,369200.0
2025-08-28,12235,Licuadora,Hogar,Barranquilla,3,30700.0,0.0,Tienda,92100.0
2025-09-25,11741,Jean slim,Moda,Barranquilla,3,91200.0,0.0,Tienda,218880.0
2025-01-16,13953,Jean slim,Moda,Bogota,3,89700.0,0.0,Tienda,269100.0
2025-09-28,17988,Jean slim,Moda,Barranquilla,1,88200.0,0.3,Tienda,61740.0
2025-11-02,12933,Juego de ollas,Hogar,Cali,3,72600.0,0.2,Tienda,174240.0
2025-07-20,14490,Set de sabanas,Hogar,Medellin,4,89400.0,0.0,Tienda,357600.0
2025-11-19,18039,Jean slim,Moda,Medellin,4,49300.0,0.1,Tienda,177480.0
2025-06-18,18494,Teclado mecanico,Tecnologia,Cali,3,269300.0,0.15,En linea,686715.0
2025-06-24,10488,Jean slim,Moda,Cali,1,58000.0,0.0,Tienda,58000.0
2025-04-07,17589,Monitor 24,Tecnologia,Cali,1,289700.0,0.0,Tienda,289700.0
2025-12-11,14157,Licuadora,Hogar,Cali,2,54800.0,0.15,Tienda,93160.0
2025-08-10,12619,Tablet 10,Tecnologia,Barranquilla,2,1415300.0,0.0,Tienda,2830600.0
2025-02-04,16943,Teclado mecanico,Tecnologia,Medellin,2,204900.0,0.0,En linea,409800.0
